Verb,proper_ink,name,tags,link,controller,action,description,parameters,domain,employee_id
GET,message_on_orders/new,message_on_orders,message on orders new  ,message_on_orders/new,message_on_orders,new,This page you can reach information about message_on_orders You can also complete the tasks of message on orders new   ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,message_on_orders/:id/edit,message_on_orders,message on orders :id edit ,message_on_orders/:id/edit,message_on_orders,edit,This page you can reach information about message_on_orders You can also complete the tasks of message on orders :id edit  ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,message_on_orders/:id,message_on_orders,message on orders :id  ,message_on_orders/:id,message_on_orders,show,This page you can reach information about message_on_orders You can also complete the tasks of message on orders :id   ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
PATCH,message_on_orders/:id,message_on_orders,message on orders :id  ,message_on_orders/:id Method = PATCH,message_on_orders,update,"This page you can reach information about message_on_orders You can also complete the tasks of message on orders :id   ::  XXX You cannot click on any link and reach this page, you have to search for other relevant pages and system would reach this page internally and complete the task. The page helps you complete the task of updation / creation and deletion if you are authorised and such an act is permitted! XXX","Add from browser header, this can change based on what user was doing",3.0.3.57,10100
PUT,message_on_orders/:id,message_on_orders,message on orders :id  ,message_on_orders/:id Method = PUT,message_on_orders,update,"This page you can reach information about message_on_orders You can also complete the tasks of message on orders :id   ::  XXX You cannot click on any link and reach this page, you have to search for other relevant pages and system would reach this page internally and complete the task. The page helps you complete the task of updation / creation and deletion if you are authorised and such an act is permitted! XXX","Add from browser header, this can change based on what user was doing",3.0.3.57,10100
DELETE,message_on_orders/:id,message_on_orders,message on orders :id  ,message_on_orders/:id Method = DELETE,message_on_orders,destroy,"This page you can reach information about message_on_orders You can also complete the tasks of message on orders :id   ::  XXX You cannot click on any link and reach this page, you have to search for other relevant pages and system would reach this page internally and complete the task. The page helps you complete the task of updation / creation and deletion if you are authorised and such an act is permitted! XXX","Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,registration_statuses,registration_statuses,registration statuses    ,registration_statuses,registration_statuses,index,This page you can reach information about registration_statuses You can also complete the tasks of registration statuses     ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
POST,registration_statuses,registration_statuses,registration statuses    ,registration_statuses Method = POST,registration_statuses,create,"This page you can reach information about registration_statuses You can also complete the tasks of registration statuses     ::  XXX You cannot click on any link and reach this page, you have to search for other relevant pages and system would reach this page internally and complete the task. The page helps you complete the task of updation / creation and deletion if you are authorised and such an act is permitted! XXX","Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,registration_statuses/new,registration_statuses,registration statuses new   ,registration_statuses/new,registration_statuses,new,This page you can reach information about registration_statuses You can also complete the tasks of registration statuses new    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,registration_statuses/:id/edit,registration_statuses,registration statuses :id edit  ,registration_statuses/:id/edit,registration_statuses,edit,This page you can reach information about registration_statuses You can also complete the tasks of registration statuses :id edit   ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
GET,registration_statuses/:id,registration_statuses,registration statuses :id   ,registration_statuses/:id,registration_statuses,show,This page you can reach information about registration_statuses You can also complete the tasks of registration statuses :id    ::  ## You may click the link (if displayed) to reach this page ##,"Add from browser header, this can change based on what user was doing",3.0.3.57,10100
